question_id,prediction_1,prediction_2,prediction_3,prediction_4,prediction_5,Average cost per run
1,b,b,b,b,b,0.006221
2,"a, b","a, b","a, b","a, b","a, b",0.006221
3,d,d,d,d,d,0.006221
4,d,b,d,d,c,0.006221
5,d,d,d,d,d,0.006221
6,b,b,b,b,c,0.006221
7,d,a,d,d,d,0.006221
8,d,d,d,d,d,0.006221
9,a,"c, d","a, c, d","a, d","a, c, d",0.006221
10,b,b,b,a,a,0.006221
11,b,b,b,b,a,0.006221
12,d,d,c,c,d,0.006221
13,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.006221
14,"a, b, c","a, b, c","a, b, c, d","a, b, c, d","a, b, c",0.006221
15,a,a,a,a,a,0.006221
16,b,b,b,c,b,0.006221
17,a,a,a,a,a,0.006221
18,c,c,c,c,c,0.006221
19,"b, d","b, d","b, d","b, d","b, d",0.006221
20,"a, b, c","a, b, c","a, b, c","a, b, c","a, b, c",0.006221
21,a,a,a,a,a,0.006221
22,d,d,a,d,b,0.006221
23,a,a,a,a,a,0.006221
24,a,a,a,a,a,0.006221
25,c,c,c,d,d,0.006221
26,b,b,b,b,b,0.006221
27,b,b,b,b,b,0.006221
28,a,a,a,a,a,0.006221
29,d,d,d,a,a,0.006221
30,b,b,b,b,b,0.006221
31,a,a,a,a,a,0.006221
32,c,c,c,c,c,0.006221
33,c,c,c,c,c,0.006221
34,a,b,b,a,b,0.006221
35,b,a,a,a,a,0.006221
36,d,d,d,d,d,0.006221
37,a,a,c,b,a,0.006221
38,a,a,a,a,a,0.006221
39,a,c,a,a,a,0.006221
40,c,c,c,c,c,0.006221
41,d,d,d,d,d,0.006221
42,d,d,d,d,d,0.006221
43,a,a,a,a,a,0.006221
44,a,a,a,a,a,0.006221
45,d,d,d,d,d,0.006221
46,c,b,a,b,b,0.006221
47,a,b,c,b,a,0.006221
48,a,a,a,a,a,0.006221
49,d,d,d,d,d,0.006221
